repo,score,best_issue,status,next_action,url
NangoHQ/nango,85,#6614,backlog,inspect manually,https://github.com/NangoHQ/nango/issues/6614
stagewise-io/stagewise,100,#1354,backlog,inspect manually,https://github.com/stagewise-io/stagewise/issues/1354
